Cluster,StoreNum,StoreName,Latitude,Longitude,CLASS_FP_KNIT_TOPS,CLASS_FP_JEANS,CLASS_FP_W_DRESSES,CLASS_FP_BEACH,CLASS_FP_ENDLESS_SUMMER,CLASS_FP_SWEATERS,CLASS_FP_WOVEN_BLOUSES,CLASS_FP_PANTS,CLASS_FP_BOOTS,CLASS_FP_W_HEAVY_KNITS,CLASS_FP_BLAZERS___JACKETS,CLASS_FP_CASUAL_OUTERWEAR,CLASS_FP_ATHLETIC,CLASS_FP_SHORTS,CLASS_FP_TREND_SHOES,CLASS_FP_OUTERWEAR,CLASS_FP_SKIRTS,CLASS_FP_PERFORMANCE_SHORTS,CLASS_FP_W_PARTY_DRESSES,CLASS_FP_CASUAL_ONE_PIECES,CLASS_FP_SANDALS,CLASS_FP_PERFORMANCE_CAMIS,CLASS_FP_LOUNGE,CLASS_FP_SLIPS,CLASS_FP_BODY,CLASS_FP_JEWELRY,CLASS_FP_BRAS,CLASS_FP_FP_SCARVES,CLASS_FP_CASUAL_BOTTOMS,CLASS_FP_MOVEMENT_HEAVYWEIGHTS,CLASS_FP_PERFORMANCE_ONE_PIECES,CLASS_FP_HATS,CLASS_FP_PERFORMANCE_LEGGINGS,CLASS_FP_BELTS,CLASS_FP_CASUAL_LAYERING,CLASS_FP_BRAS___MOVEMENT,CLASS_FP_ONE_PIECE,CLASS_FP_SUNGLASSES,CLASS_FP_SWIM_TOPS,CLASS_FP_PERFORMANCE_OUTERWEAR,CLASS_FP_HAIR_ACCESSORIES,CLASS_FP_PERFORMANCE_LAYERING,CLASS_FP_SWIM_BOTTOMS,CLASS_FP_MOVEMENT_BAGS,CLASS_FP_CASUAL_SHORTS,CLASS_FP_CASUAL_SETS,CLASS_FP_SUNSUITS,CLASS_FP_PERFORMANCE_BOTTOMS,CLASS_FP_SURF_ONE_PIECE,CLASS_FP_UNDIES,CLASS_FP_UNDERWIRE_BRAS,CLASS_FP_PERFORMANCE_SETS,CLASS_SUITS,CLASS_FP_MOVEMENT_SOCKS,CLASS_FP_SURF_TOPS,CLASS_FP_IN_CASE_JEWELRY,CLASS_MOVEMENT_ACCESSORIES,CLASS_FP_SURF_BOTTOMS,CLASS_FP_MOVEMENT_HATS,CLASS_FP_MISC_ACCESSORIES
6,6293,FP COLL  MVNT RET STR,25.7284622,-80.2421738,0.831255198,1.085785778,1.243949228,1.035814442,1.357932528,0.573326947,1.043887864,1.123425115,0.788593386,0.437503793,0.884426096,0.502041256,1.133670661,1.025916281,0.937055871,0.726645243,1.366364523,0.824776182,1.525469701,1.014427196,1.079052676,1.046066314,1.076524615,1.136259907,1.214288942,1.044870713,1.242531663,1.094537608,1.26319086,0.731317152,1.963946698,0.757299976,1.540702104,1.007872914,0.752503629,1.39301305,1.211167881,1.008709181,1.130424144,1.40464555,0.910829879,1.216061879,1.161769714,0.912581712,1.133701906,1.161508487,1.313532287,1.740513813,1.912199001,0.765747519,0.761895839,1.351918299,1.556454356,0.819906586,1.05530588,1.068603513,1.034392043,1.103414331,0.564786779,0.835953002
6,1831, FT LAUDERDALE GALLER,26.1365015,-80.1141879,1.099426058,0.969344596,1.17692399,1.117379719,1.279311745,0.614368749,1.057973325,1.102270021,0.756401137,0.737734944,0.889417079,0.404741966,0.998922606,1.129851451,0.902629642,0.674903798,1.231987256,0.825623233,1.214233898,1.340244359,0.972876991,1.185246253,1.222341029,1.168746327,1.037264773,1.070443803,1.044424725,1.035213232,1.31969261,0.795429829,1.559575083,0.662887666,1.243580967,1.045203623,1.03081388,1.221422719,0.98449633,0.951211097,0.872276565,0.711029427,1.053092494,1.262855755,0.913942679,0.835834828,1.300908386,1.258141809,1.031304049,1.172973626,1.119308265,0.603687414,0.745255641,1.174594599,1.51125917,0.682054917,0.835851603,0.853951906,0.820030872,0.810378337,0.436670579,0.98128344
6,1834, SAN JUAN PR MALL,18.4124832,-66.0258967,0.720423564,1.580980865,1.443614939,0.994291439,1.159367036,0.267063316,1.012741642,1.353075279,0.688416031,0.290573657,0.911837426,0.47748908,1.245963,0.61091353,1.439632049,0.566090578,1.832205763,0.610842444,2.625577788,0.9143107,1.375576814,0.713575663,1.230433413,1.159587071,0.858678274,0.815279127,1.176344143,1.338332281,0.690618785,0.395263026,0.970831614,0.532450267,0.867506747,1.367313887,0.697495936,1.218729366,1.206733613,0.516678276,1.825958686,1.40247425,1.316369468,0.753802035,1.675864344,0.792007738,0.978864196,0.462816859,1.600603729,1.190940158,2.621918601,0.675167737,0.552794655,1.044343568,1.8901609,0.367852502,2.026976959,0.594251151,0.668486249,2.030429156,0.444303869,0.418196862
6,1838," NAPLES FL, WATERSIDE",26.2129388,-81.8026496,1.108706155,0.836244225,0.958092473,1.164915038,1.258336779,0.911516325,1.24178962,1.124274271,0.73971328,0.859267433,0.708235496,0.548110087,1.032392052,1.471663718,0.667839105,0.549973876,1.222981049,1.134639168,1.265276575,1.121244559,1.054640827,1.306370714,1.181864399,1.200358131,0.945738631,0.851713453,1.123352293,0.906571313,1.267267443,0.843849355,0.872008226,0.768416015,1.159901664,0.903394219,1.341053262,1.114806225,1.043519534,0.512263839,1.30506748,0.623388401,1.045684568,1.239153658,1.329849803,0.932707027,1.113931064,1.133529468,0.886919185,1.300619111,1.225166411,0.774680051,0.807323299,1.090960819,0.907949458,0.784527721,1.380746549,1.243467836,0.83523821,1.012556968,0.665889412,0.982265468
6,1839, DISNEY SPRINGS,28.3694433,-81.5176528,1.041214822,0.846761945,1.325832585,1.191960003,1.321612714,0.659264967,1.008559986,0.952491042,0.768890443,0.911294693,0.820467584,0.546434436,1.256329903,1.16248933,0.932980992,0.570695754,1.021539537,1.194924203,1.082592608,1.129534181,1.155640253,1.147970826,1.329156382,1.153144842,1.004309724,1.215800801,0.912040436,0.835971357,0.830300011,0.849016834,1.259204576,0.691581951,0.967271694,0.915948682,0.99100434,1.041124292,0.782329634,0.940377859,0.862570224,1.171017749,1.031955469,0.761641331,0.980287967,0.665074833,1.22990287,1.695484713,0.99492292,1.080714455,0.906137989,0.788561703,0.773357414,0.989238123,0.855160184,0.836086468,0.766748718,1.025755936,0.576734178,0.654950919,0.524118998,0.999052697
6,1869," AVENTURA, FL",25.9572966,-80.145069,0.932715094,1.049170417,1.164498911,1.082066531,1.279637459,0.599065075,1.039566399,1.126980419,0.801139288,0.529428233,0.927014894,0.451924094,1.069594511,1.081134876,0.940657884,0.723205678,1.285660378,0.754109166,1.417662181,1.159189235,1.046476272,1.071864121,1.148379158,1.189140374,1.172865329,1.075249835,1.181891654,1.092377939,1.300186899,0.802280659,1.790365826,0.748662105,1.400513749,1.068059623,0.890945995,1.299661953,1.151910089,0.99339002,1.064605739,1.220733088,0.901448197,1.20059618,1.050258463,0.867547934,1.181193008,1.265037572,1.238507671,1.479557201,1.900698231,0.731099559,0.810979378,1.331549358,1.53272911,0.753974921,0.965669002,0.97717367,1.015742477,1.05157554,0.5953009,0.900059832
6,6003, FP MOV COCOWALK FL,25.7284622,-80.2421738,0.831255198,1.085785778,1.243949228,1.035814442,1.357932528,0.573326947,1.043887864,1.123425115,0.788593386,0.437503793,0.884426096,0.502041256,1.133670661,1.025916281,0.937055871,0.726645243,1.366364523,0.824776182,1.525469701,1.014427196,1.079052676,1.046066314,1.076524615,1.136259907,1.214288942,1.044870713,1.242531663,1.094537608,1.26319086,0.731317152,1.963946698,0.757299976,1.540702104,1.007872914,0.752503629,1.39301305,1.211167881,1.008709181,1.130424144,1.40464555,0.910829879,1.216061879,1.161769714,0.912581712,1.133701906,1.161508487,1.313532287,1.740513813,1.912199001,0.765747519,0.761895839,1.351918299,1.556454356,0.819906586,1.05530588,1.068603513,1.034392043,1.103414331,0.564786779,0.835953002
6,6024, FP MOV MIAMI FL,25.6903883,-80.3140917,0.824288909,1.096435936,1.247996925,1.02144382,1.3594055,0.564281402,1.046649265,1.110754652,0.782204179,0.435884541,0.861535657,0.516823832,1.12825075,1.018236221,0.910784312,0.722343894,1.351480788,0.853910408,1.630949408,1.033463519,1.06783404,1.085804454,1.063252222,1.109527124,1.20017066,1.057197249,1.247974321,1.083007958,1.286947423,0.709054148,1.941458844,0.781345283,1.591059543,0.994168985,0.764059,1.432903404,1.23135176,1.029096935,1.151393809,1.319431526,0.92358211,1.191698525,1.159327206,0.944493288,1.161291492,1.114897853,1.346975779,1.791601853,1.982568309,0.775944305,0.765882523,1.346157563,1.505433201,0.853952704,1.062458477,1.073663739,1.02228471,1.073507235,0.593852775,0.798747492
6,6025, FP MOV BOCA RATON FL,26.3652588,-80.1327395,1.149283938,0.881757589,1.174638003,1.066398348,1.240297759,0.64116341,1.111165685,0.99804318,0.739252102,0.785451912,0.809703569,0.409166065,0.872114833,1.133033187,0.856752303,0.676814842,1.245324719,0.965150551,1.249617101,1.507385904,0.856429069,1.38214423,1.195091019,1.156379022,1.035503217,1.018033003,1.08127875,0.94976577,1.409936764,0.860074446,1.594370772,0.698880613,1.275601767,0.927652188,1.401783471,1.359770823,0.786885457,0.82953364,0.871012331,0.638277819,1.109555401,1.449601352,0.952908077,0.881839435,1.494692281,1.038188236,1.084759706,1.155313135,0.997915086,0.652994713,0.892149484,1.32419088,1.063909677,0.84596656,0.81246192,1.989614283,0.9232255,0.606229082,0.522251655,0.893626079
6,1843," HONOLULU, HI",21.2783472,-157.8265997,0.972892354,0.815622263,1.014845411,1.222359193,1.618638112,0.566109564,1.272067747,0.918896394,0.417066962,0.808168002,0.663405438,0.422010341,0.791648188,1.657461525,0.627903091,0.434435902,1.038833832,1.229406637,1.079405957,1.713007745,0.96081159,1.742430243,1.245688601,1.328432765,0.74296192,0.81691136,1.47343007,0.745003285,1.163989121,0.635877069,1.334699019,0.786531333,0.901292202,0.837850155,1.084450084,1.684283387,0.646481367,0.819236577,1.349224767,0.664573158,1.209522339,0.783796656,1.392898445,1.355925221,1.748453764,1.048675662,0.58615026,1.426875758,3.091164406,1.101355512,0.878518189,1.253328136,0.8162971,0.668220182,4.017462911,2.129705375,2.278221239,2.37870463,0.492800847,1.327308732
