Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
4,1820, VA BEACH TOWN CTR.,4532 MAIN ST.,VIRGINIA BEACH,23462,VA,C2,LIFESTYLE CENTER,COLD,EAST COAST-MID-ATLANTIC DISTRICT,36.8423156,-76.1329993,5592894.49,3392698.72
4,1822," ANNAPOLIS, MD  MALL",2002 ANNAPOLIS MALL RD,ANNAPOLIS,21401,MD,B2,LIFESTYLE CENTER,COLD,EAST COAST-MID-ATLANTIC DISTRICT,38.9901729,-76.5430742,6300551.41,3862859.56
4,1823," JACKSONVILLE, FL",4818 RIVER CITY DRIVE,JACKSONVILLE,32246,FL,C2,LIFESTYLE CENTER,HOT,EAST COAST-SOUTHEAST DISTRICT,30.2537691,-81.5260852,6720691.33,4112541.44
4,1824," SARASOTA, FL",140 UNIV. TOWN CTR. DR.,SARASOTA,34243,FL,A2,TRADITIONAL MALL,HOT,EAST COAST-FLORIDA DISTRICT,27.336465,-82.5310117,5492089.72,3251868.99
4,853, LAS VEGAS FASHIONMALL,3200 LAS VEGAS BLVD S.,LAS VEGAS,89109,NV,F,TRADITIONAL MALL,HOT,CENTRAL-MOUNTAIN DISTRICT,36.1285927,-115.1741869,11500172.2,6863213.55
4,1809, SAN DIEGO U TOWN CTR,4545 LA JOLLA VILLAGE DR,SAN DIEGO,92122,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,32.8710546,-117.2114223,28988339.62,15178140.64
4,1817, SAN DIEGO FASHIONVLY,7007 FRIARS RD.,SAN DIEGO,92108,CA,A2,TRADITIONAL MALL,MILD,WEST COAST-SOUTHERN CALIFORNIA,32.7681182,-117.1667284,24307973.39,12886625.19
4,818," CARLSBAD, CA    FORUM",1911  CALLE BARCELONA,CARLSBAD,92009,CA,C3,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.0714823,-117.2664175,21315102.07,11201620.83
4,835, SCOTTSDALE AZ FASHION,7014 E CAMELBACK RD,SCOTTSDALE,85251,AZ,F,TRADITIONAL MALL,HOT,CENTRAL-MOUNTAIN DISTRICT,33.5041443,-111.9291418,21653888.04,12644098.02
4,1873," TUCSON, AZ",2905 E SKYLINE DR.,TUCSON,85718,AZ,F,LIFESTYLE CENTER,HOT,CENTRAL-MOUNTAIN DISTRICT,32.3247425,-110.9299968,3573446.64,2184433.66
