Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
6,6293,FP COLL  MVNT RET STR,"3015 GRAND AVE, #107",COCONUT GROVE,33133,FL,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-DC DISTRICT,25.7284622,-80.2421738,18436850.1,10946546.12
6,1831, FT LAUDERDALE GALLER,2348 E. SUNRISE BLVD,FT. LAUDERDALE,33304,FL,A1,TRADITIONAL MALL,HOT,EAST COAST-FLORIDA DISTRICT,26.1365015,-80.1141879,15117478.27,9098995.32
6,1834, SAN JUAN PR MALL,1000 MALL OF SAN JUAN BVD,SAN JUAN,924,PR,C3,TRADITIONAL MALL,HOT,EAST COAST-FLORIDA DISTRICT,18.4124832,-66.0258967,1106865.18,767155.6
6,1838," NAPLES FL, WATERSIDE",5435 TAMIAMI TRAIL N.,NAPLES,34108,FL,A1,LIFESTYLE CENTER,HOT,EAST COAST-FLORIDA DISTRICT,26.2129388,-81.8026496,4424920.17,2607414.53
6,1839, DISNEY SPRINGS,1520 E. BUENA VISTA DR #K,LAKE BUENA VISTA,32830,FL,A1,LIFESTYLE CENTER,HOT,EAST COAST-FLORIDA DISTRICT,28.3694433,-81.5176528,6068803.42,3732969.09
6,1869," AVENTURA, FL",19501 BISCAYNE BLVD.,AVENTURA,33180,FL,F,TRADITIONAL MALL,HOT,EAST COAST-FLORIDA DISTRICT,25.9572966,-80.145069,20699880.38,12227126.65
6,6003, FP MOV COCOWALK FL,"3015 GRAND AVE, #107",COCONUT GROVE,33133,FL,UNKNOWN,LIFESTYLE CENTER,HOT,EAST COAST-MVMT - EAST COAST,25.7284622,-80.2421738,18436850.1,10946546.12
6,6024, FP MOV MIAMI FL,7535 N. KENDALL DR.,MIAMI,33156,FL,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,25.6903883,-80.3140917,16912601.12,10037726.66
6,6025, FP MOV BOCA RATON FL,6000 GLADES ROAD,BOCA RATON,33431,FL,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,26.3652588,-80.1327395,12112865.38,7378386.66
6,1843," HONOLULU, HI",2330 KALAKAUA AVENUE,HONOLULU,96815,HI,A2,LIFESTYLE CENTER,HOT,WEST COAST-SOUTHERN CALIFORNIA,21.2783472,-157.8265997,3213153.68,1861493.34
6,869, TAMPA FL  INTL PLAZA,2223  N. WEST SHORE BLVD.,TAMPA,33607,FL,F,TRADITIONAL MALL,HOT,EAST COAST-FLORIDA DISTRICT,27.9646682,-82.5206435,11931990.3,7040033.96
6,1810, MIAMI DADELAND MALL,7535 N. KENDALL DR.,MIAMI,33156,FL,F,TRADITIONAL MALL,HOT,EAST COAST-FLORIDA DISTRICT,25.6903883,-80.3140917,16912601.12,10037726.66
6,1811, MIAMI BEACH  COLLINS,650  COLLINS AVENUE,MIAMI BEACH,33139,FL,B3,METRO,HOT,EAST COAST-FLORIDA DISTRICT,25.7764674,-80.1328922,18077305.7,10681387.11
