Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
5,6291,FP COLL  MVNT RET STR,10250 SANTA MONICA BLVD.,LOS ANGELES,90067,CA,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-DC DISTRICT,34.0590031,-118.418866,80242390.56,40454530.07
5,1853, NYC WBWAY & SPRING,383 W. BROADWAY,NEW YORK,10012,NY,A1,METRO,COLD,EAST COAST-NYC DISTRICT,40.7237571,-74.0021582,96137758.8,52124480.37
5,1858," METAIRIE, LA",3301 VETERANS MEML BLVD,METAIRIE,70002,LA,B2,TRADITIONAL MALL,MILD,EAST COAST-SOUTHEAST DISTRICT,30.006398,-90.1572976,5370613.09,3396211.36
5,6035," FP MOV TIBURON, CA",26 MAIN ST,BELVEDERE TIBURON,94920,CA,UNKNOWN,UNKNOWN,UNKNOWN,WEST COAST-MVMT - WEST COAST,37.8734076,-122.4566095,30099642.34,15337789.89
5,817, CANOGA PARK CA  TPNGA,6600  TOPANGA CANYON BLVD,CANOGA PARK,91303,CA,A2,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.1887963,-118.6034243,59218345.72,30390342.32
5,1803, SHERMAN OAKS FASHION,14006 RIVERSIDE DR.,SHERMAN OAKS,91423,CA,F,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.156988,-118.4374399,74842099.48,37805683.58
5,6001, FP MOV CENTURY CITY,10250 SANTA MONICA BLVD.,LOS ANGELES,90067,CA,UNKNOWN,UNKNOWN,MILD,WEST COAST-MVMT - WEST COAST,34.0590031,-118.418866,80242390.56,40454530.07
5,842, CORTE MADERA  VILLAGE,1820 REDWOOD HWY,CORTE MADERA,94925,CA,B3,LIFESTYLE CENTER,MILD,WEST COAST-NORTHERN CALIFORNIA,37.9296414,-122.515021,27228768.55,13839867.93
5,846, STUDIO CITY  VENTURA,12130  VENTURA BLVD,STUDIO CITY,91604,CA,B3,METRO,MILD,WEST COAST-LOS ANGELES,34.143208,-118.396238,76654266.48,38624031.84
5,877, L.A. WFLD CENTURYCITY,10250 SANTA MONICA BLVD,LOS ANGELES,90067,CA,F,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.0586592,-118.4190309,80235213.96,40453948.85
5,1877," NAPA, CA",1214 FIRST STREET,NAPA,94559,CA,F,METRO,UNKNOWN,WEST COAST-NORTHERN CALIFORNIA,38.2984163,-122.28733,4173072.66,2384814.5
5,1845," PASADENA, CA",139 W. COLORADO BLVD.,PASADENA,91105,CA,C2,METRO,WARM,WEST COAST-LOS ANGELES,34.146054,-118.1535202,55437936.19,28142778.5
5,6012, FP MOV GARDEN CITY,630 OLD COUNTRY ROAD,GARDEN CITY,11530,NY,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,40.7382485,-73.6142374,54117949.03,29953194.89
5,1828," ARCADIA, CA S. ANITA",400 S. BALDWIN AVENUE,ARCADIA,91007,CA,C3,TRADITIONAL MALL,MILD,WEST COAST-LOS ANGELES,34.1343827,-118.0515692,40194798.22,20445813.98
5,1864," MALIBU, CA",3806 CROSS CREEK RD.,MALIBU,90265,CA,F,METRO,MILD,WEST COAST-LOS ANGELES,34.0367346,-118.6848682,44876017.87,23022603.28
5,833," SANTA BARBARA, CA  FP",1127  STATE ST.,SANTA BARBARA,93101,CA,C3,METRO,MILD,WEST COAST-LOS ANGELES,34.4229368,-119.7041946,4537601.82,2390501.43
5,825," SANTA MONICA, CA",2925  MAIN ST.,SANTA MONICA,90405,CA,F,METRO,MILD,WEST COAST-LOS ANGELES,33.9990762,-118.4803309,74058638.23,37138677.19
5,876," SANTA MONICA PLACE,CA",395 SANTA MONICA PLACE,SANTA MONICA,90401,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-LOS ANGELES,34.0141707,-118.4935128,74404953.35,37323326.65
5,810," TORRANCE, CA  DEL AMO",3525 W. CARSON ST.,TORRANCE,90503,CA,F,LIFESTYLE CENTER,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.8310336,-118.3497562,54074454.76,27544592.56
5,821, WALNUT CREEK CA OLYMC,1181 BROADWAY PLAZA,WALNUT CREEK,94596,CA,A1,METRO,MILD,WEST COAST-NORTHERN CALIFORNIA,37.8963427,-122.0588972,20824732.85,10989649.76
5,828," MANHATTAN BEACH, CA",300  MANHATTAN BEACH BLVD,MANHATTAN BEACH,90266,CA,F,METRO,MILD,WEST COAST-SOUTHERN CALIFORNIA,33.8849436,-118.4094406,60922224.22,30781655.18
5,6005, FP MOV STUDIO CITY,12833 VENTURA BLVD.,STUDIO CITY,91604,CA,UNKNOWN,UNKNOWN,UNKNOWN,WEST COAST-MVMT - WEST COAST,34.1457947,-118.4134501,76037771.35,38354033.06
5,6026, FP MOV VENICE CA,1644 ABBOT KINNEY BLVD,VENICE,90291,CA,UNKNOWN,UNKNOWN,UNKNOWN,WEST COAST-MVMT - WEST COAST,33.9893726,-118.4632889,74185608.57,37291016.93
5,801, PARAMUS NJ GRDN STATE,2132 GARDEN STATE PLAZA,PARAMUS,7652,NJ,B3,TRADITIONAL MALL,COLD,EAST COAST-NORTHEAST,40.9181729,-74.076331,88947615.43,48608478.74
5,807, GARDEN CITY NY RSVELT,630 OLD COUNTRY RD.,GARDEN CITY,11530,NY,B2,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,40.7382485,-73.6142374,54117949.03,29953194.89
5,815," FIFTH AVE, NY, NY",79  FIFTH AVENUE,NEW YORK,10003,NY,A1,METRO,COLD,EAST COAST-NYC DISTRICT,40.7370304,-73.9925067,97210832.84,52694168.17
5,860," BROOKLYN,NY  SMITH ST",113  SMITH ST.,BROOKLYN,11201,NY,F,METRO,COLD,EAST COAST-NYC DISTRICT,40.6878045,-73.9894565,94335176.93,51054554.22
5,864," ROCKEFELLER CTR., NY",10  WEST 49TH ST.,NEW YORK,10020,NY,A1,METRO,COLD,EAST COAST-NYC DISTRICT,40.7579902,-73.9786411,98592284.1,53470048.59
5,867, NEW ORLEANS  MAGAZINE,3948 MAGAZINE ST,NEW ORLEANS,70115,LA,F,METRO,MILD,EAST COAST-SOUTHEAST DISTRICT,29.9209753,-90.0963512,5356815.63,3388184.78
