Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
2,1854," BROOKFIELD, WI",200 N. MARKET ST.,BROOKFIELD,53045,WI,C3,LIFESTYLE CENTER,COLD,CENTRAL-GREATER CHICAGO,43.0340209,-88.1630848,6896285.78,3996386.73
2,1865," PARK CITY, UT",638 PARK AVENUE,PARK CITY,84060,UT,F,LIFESTYLE CENTER,COLD,CENTRAL-MOUNTAIN DISTRICT,40.6460622,-111.4979729,6925577.55,4054657.51
2,1806, SALT LAKE CITYCTYCRK,50 S. MAIN ST.,SALT LAKE CITY,84101,UT,C3,LIFESTYLE CENTER,COLD,CENTRAL-MOUNTAIN DISTRICT,40.7683333,-111.8913889,16276053.5,9634452.44
2,1861," CINCINNATI, OH",7875 MONTGOMERY RD.,CINCINNATI,45236,OH,F,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,39.2022378,-84.3772003,7296719.86,4435001.38
2,1807, MALL AMER BLOOMINGTN,149  SOUTH AVENUE,BLOOMINGTON,55425,MN,A2,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,44.8535309,-93.2431933,17912057.91,9967782.51
2,823, - BELLEVUE SQUARE WA,1056 BELLEVUE SQUARE,BELLEVUE,98004,WA,F,TRADITIONAL MALL,COLD,WEST COAST-NORTHWEST DISTRICT,47.6202333,-122.2017028,25678053.06,14094995.42
2,838," DENVER, CO CHERRY CRK",3000  E. 1ST AVENUE,DENVER,80206,CO,A1,TRADITIONAL MALL,COLD,CENTRAL-MOUNTAIN DISTRICT,39.7168183,-104.9526302,30169438.15,17314123.09
2,865," VICTOR, NY  EASTVIEW",355  EASTVIEW MALL,VICTOR,14564,NY,C3,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,43.0290737,-77.4432825,4336141.61,2487178.31
2,866, KANSAS CITY MO CC PLZ,440  NICHOLS RD.,KANSAS CITY,64112,MO,F,LIFESTYLE CENTER,COLD,CENTRAL-MID-WEST DISTRICT,39.0416157,-94.5930974,8822147.34,5559053.85
2,871, WOODMERE OH   ETON,28699 CHAGRIN BLVD,WOODMERE,44122,OH,F,LIFESTYLE CENTER,COLD,CENTRAL-MID-WEST DISTRICT,41.46308,-81.4776192,8328699.49,4918106.47
2,1813, PITTSBURGH ROSS PARK,1000 ROSS PARK MALL DR.,PITTSBURGH,15237,PA,B2,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,40.5439917,-80.0074183,12179025.9,7224029.54
2,6033, FP MOV W DES MOINES,101 JORDAN CREEK PKWY,WEST DES MOINES,50266,IA,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,41.5698453,-93.8030635,2589863.52,1641367.04
2,6014, FP MOV INDIANAPOLIS,8702 KEYSTONE CROSSING,INDIANAPOLIS,46240,IN,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,39.9146201,-86.11124,9815050.65,6002770.94
2,6023, FP MOV ORANGE VILLAG,311 PARK AVE,ORANGE VILLAGE,44122,OH,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,41.4525085,-81.4867335,8440987.77,4991627.93
2,1885," RIVERTON, UT",4533 W KESTREL RANGE RD,RIVERTON,84096,UT,UNKNOWN,UNKNOWN,UNKNOWN,CENTRAL-MOUNTAIN DISTRICT,40.510098,-111.9989421,19079411.71,11469188.59
2,837, NASHVILLE  GREEN HILL,2126 ABBOTT MARTIN ROAD,NASHVILLE,37215,TN,A3,TRADITIONAL MALL,MILD,EAST COAST-MID-ATLANTIC DISTRICT,36.1071345,-86.8173774,15628638.9,9293237.7
