Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
2,1874," NASHVILLE, TN",5016 BROADWAY PLACE,NASHVILLE,37203,TN,F,METRO,UNKNOWN,EAST COAST-MID-ATLANTIC DISTRICT,36.1605041,-86.7799532,15579286.97,9247153.65
2,857, BUFFALO NY WALDEN GAL,1  WALDEN GALLERIA #L-118,BUFFALO,14225,NY,B2,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,42.9135693,-78.7633117,4858837.96,2793672.61
2,1836, PORTLAND BREWERY BLK,185 NW 11TH AVENUE,PORTLAND,97209,OR,A1,LIFESTYLE CENTER,COLD,WEST COAST-NORTHWEST DISTRICT,45.5234936,-122.6825271,19982481.31,11185004.88
2,1840," MADISON, WI HILLDALE",709 HILLDALE WAY,MADISON,53705,WI,F,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,43.073207,-89.4535335,3824580.98,2066634.26
2,1844," EDINA, MN GALLERIA",#3395 GALLERIA,EDINA,55435,MN,B1,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,44.8771833,-93.3248446,18594056.5,10377253.06
2,1849," GRAND RAPIDS, MI",1946 BRETON RD. SE,GRAND RAPIDS,49506,MI,C2,LIFESTYLE CENTER,COLD,CENTRAL-GREATER CHICAGO,42.9283235,-85.6074351,4057421.42,2428770.27
2,878, INDIANAPOLIS  FASHION,8701 KEYSTONE CROSSING,INDIANAPOLIS,46240,IN,F,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,39.9139901,-86.1093871,9819626.45,6006068.74
2,880," TIGARD, OR BRIDGEPORT",7283  SW BRIDGEPORT RD.,TIGARD,97224,OR,C3,LIFESTYLE CENTER,COLD,WEST COAST-NORTHWEST DISTRICT,45.3969205,-122.751397,18344951.03,10143275.09
2,1808, COLUMBUS OH  EASTON,4008 FENLON ST.,COLUMBUS,43219,OH,B3,LIFESTYLE CENTER,COLD,CENTRAL-MID-WEST DISTRICT,40.0519492,-82.9139101,9153038.18,5337385.86
2,1850," SPOKANE, WA",865 W. MAIN AVENUE,SPOKANE,99201,WA,C2,METRO,COLD,WEST COAST-NORTHWEST DISTRICT,47.6588694,-117.4242868,3029105.66,1752739.98
2,1857," LEXINGTON, KY","151 LARUE, #120",LEXINGTON,40517,KY,C2,LIFESTYLE CENTER,COLD,CENTRAL-MID-WEST DISTRICT,37.9777842,-84.5260468,2155503.08,1453184.29
2,836, SEATTLE WA  UNIV VILL,2680  NE UNIV VILLAGE ST.,SEATTLE,98105,WA,F,LIFESTYLE CENTER,COLD,WEST COAST-NORTHWEST DISTRICT,47.6634928,-122.2979606,25640419.28,14049020.49
2,839, PITTSBURGH PA  BAKERY,6425 PENN AVENUE,PITTSBURGH,15206,PA,F,METRO,COLD,CENTRAL-MID-WEST DISTRICT,40.4569922,-79.9171553,12466455.12,7436828
2,826," SEATTLE, WA   STEWART",101  STEWART ST.,SEATTLE,98101,WA,C3,METRO,COLD,WEST COAST-NORTHWEST DISTRICT,47.6103002,-122.3408604,25325208.18,13876444.61
2,1829, ST LOUIS MO GALLERIA,1436 ST LOUIS GALLERIA,ST. LOUIS,63117,MO,A1,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,38.6354047,-90.3484533,8108244.37,4911480.61
2,1867," LONE TREE, CO",8423 PARK MEADOWS CTR DR,LONE TREE,80124,CO,F,TRADITIONAL MALL,COLD,CENTRAL-MOUNTAIN DISTRICT,39.562587,-104.878022,27464206,15592010.05
2,6018, FP MOV PITTSBURGH PA,1000 ROSS PARK MALL DR.,PITTSBURGH,15237,PA,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,40.5441932,-80.0071943,12152423.8,7207831.64
2,6027," EDINA, MN",3930 MARKET STREET,EDINA,55424,MN,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,44.913652,-93.3302072,18772662.23,10477298.88
