Cluster,StoreNum,StoreName,Latitude,Longitude,CLASS_FP_KNIT_TOPS,CLASS_FP_JEANS,CLASS_FP_W_DRESSES,CLASS_FP_BEACH,CLASS_FP_ENDLESS_SUMMER,CLASS_FP_SWEATERS,CLASS_FP_WOVEN_BLOUSES,CLASS_FP_PANTS,CLASS_FP_BOOTS,CLASS_FP_W_HEAVY_KNITS,CLASS_FP_BLAZERS___JACKETS,CLASS_FP_CASUAL_OUTERWEAR,CLASS_FP_ATHLETIC,CLASS_FP_SHORTS,CLASS_FP_TREND_SHOES,CLASS_FP_OUTERWEAR,CLASS_FP_SKIRTS,CLASS_FP_PERFORMANCE_SHORTS,CLASS_FP_W_PARTY_DRESSES,CLASS_FP_CASUAL_ONE_PIECES,CLASS_FP_SANDALS,CLASS_FP_PERFORMANCE_CAMIS,CLASS_FP_LOUNGE,CLASS_FP_SLIPS,CLASS_FP_BODY,CLASS_FP_JEWELRY,CLASS_FP_BRAS,CLASS_FP_FP_SCARVES,CLASS_FP_CASUAL_BOTTOMS,CLASS_FP_MOVEMENT_HEAVYWEIGHTS,CLASS_FP_PERFORMANCE_ONE_PIECES,CLASS_FP_HATS,CLASS_FP_PERFORMANCE_LEGGINGS,CLASS_FP_BELTS,CLASS_FP_CASUAL_LAYERING,CLASS_FP_BRAS___MOVEMENT,CLASS_FP_ONE_PIECE,CLASS_FP_SUNGLASSES,CLASS_FP_SWIM_TOPS,CLASS_FP_PERFORMANCE_OUTERWEAR,CLASS_FP_HAIR_ACCESSORIES,CLASS_FP_PERFORMANCE_LAYERING,CLASS_FP_SWIM_BOTTOMS,CLASS_FP_MOVEMENT_BAGS,CLASS_FP_CASUAL_SHORTS,CLASS_FP_CASUAL_SETS,CLASS_FP_SUNSUITS,CLASS_FP_PERFORMANCE_BOTTOMS,CLASS_FP_SURF_ONE_PIECE,CLASS_FP_UNDIES,CLASS_FP_UNDERWIRE_BRAS,CLASS_FP_PERFORMANCE_SETS,CLASS_SUITS,CLASS_FP_MOVEMENT_SOCKS,CLASS_FP_SURF_TOPS,CLASS_FP_IN_CASE_JEWELRY,CLASS_MOVEMENT_ACCESSORIES,CLASS_FP_SURF_BOTTOMS,CLASS_FP_MOVEMENT_HATS,CLASS_FP_MISC_ACCESSORIES
3,1821, ALPHARETTA GA AVALON,34.0709773,-84.2769734,0.98037008,0.866221894,1.001494519,0.988097259,1.003741769,0.912179197,1.024327616,0.799394154,0.977244668,0.982404535,0.913332405,1.009849708,1.1739393,1.038291211,0.859815121,0.847552282,1.018636611,3.184469453,0.960326678,0.996570586,0.949847138,1.409719956,1.105321304,0.811424425,0.881992786,0.914685029,0.662274429,0.982291343,0.914623868,1.216016438,1.304631301,0.875272633,1.185482392,0.946520591,1.268874012,1.311764153,0.747046494,0.875455986,0.893162854,1.109286637,0.795679418,1.695638222,0.865427197,0.879517986,1.416731456,1.341619172,1.046810809,0.989179507,0.984059748,0.644143646,0.741412931,1.230113721,0.631041333,0.792294639,0.802108859,0.546160433,1.026675558,0.761922128,0.626188535,0.872608356
3,1847, CHARLOTTE ATHERTON M,35.2087528,-80.8607778,0.978512573,0.845886183,0.971693123,1.032742919,0.980037331,0.953202447,0.888558078,0.748688129,0.943300387,1.04890363,0.701188261,1.281941184,1.323962779,1.098919143,0.778881192,0.677476324,0.899508157,2.705079177,0.724332586,1.272018387,0.934802594,1.785450109,0.99656769,0.761610578,0.833951181,0.915624299,0.741711539,0.848814533,1.133107802,1.504416979,1.01518383,0.694354767,1.445166587,0.854408879,1.552627903,1.443417969,0.920435371,0.995873408,0.820464385,0.978435823,0.637312476,2.261499244,0.840063867,1.051142705,1.487736753,1.258890643,0.838508222,1.062703248,0.911971282,0.680947117,0.633619116,0.989012158,0.421907713,0.985745678,0.67916872,0.887738154,0.723892062,0.455946638,0.692335227,1.059272579
3,1862," CHARLESTON, SC",32.7897082,-79.9387041,0.969774366,0.984277771,1.059123554,0.986574072,1.083287785,0.833575583,0.859959752,0.830867535,0.958922877,0.856876475,0.669176107,1.032503107,1.417216317,1.118528736,0.672587626,0.669926228,0.920735178,2.685181214,1.081470349,0.933705291,0.838648395,1.485991961,0.90901936,0.900685688,0.96543291,0.845899922,0.916932797,0.754781935,0.946403198,1.037324345,1.350886772,0.776066949,1.599527027,0.69536009,1.199406783,1.670805888,0.877488027,0.94883701,1.022266225,0.56716852,0.663872408,1.845947808,1.03956933,0.796081393,1.296069549,1.307303999,1.111395424,0.535248595,0.858079931,1.045896347,0.850441441,1.485172011,0.443144015,0.810169142,1.230635706,3.461139641,1.206843573,1.013152822,0.680883948,1.28802978
3,1868," KNOXVILLE, TN",35.9367207,-83.990713,1.043542752,0.743990529,0.835525104,1.171890703,0.835506346,1.000816808,0.946228882,0.545553202,0.887830445,1.46691718,0.85434347,1.396932741,1.556173414,0.949121513,0.675795741,0.636971442,0.712205033,2.796697555,0.606558935,1.870486747,1.007503378,1.577297859,1.002147293,0.587928603,0.747156603,0.830512775,0.617669528,0.851457325,0.929115964,1.813010769,1.280673058,0.788711589,1.631358595,0.728704838,1.582563814,1.35870694,0.476056588,0.690034575,0.548912214,1.433948027,0.805508218,1.756759829,0.592894824,1.028634438,1.231283833,1.536978614,0.491026136,0.792011994,0.298818285,0.380227126,0.483322113,1.061729575,0.576142556,0.916156725,1.040654114,0.150183598,0.631058867,1.178925225,1.222033336,1.506424705
3,1880," BATON ROUGE, LA",30.3789585,-91.0942794,0.831366459,0.708563774,0.701642907,0.908358921,0.855131232,0.540916069,0.746097971,0.68093768,0.995762021,0.837318109,0.503543419,1.129454363,1.410610123,1.006945752,0.773313607,0.454841486,0.728629319,9.827026081,0.582810747,0.604959045,0.801553992,1.722650966,0.738420499,0.500548009,0.681596484,0.609423171,0.524008526,0.764856134,0.705992191,1.485900545,2.35221278,0.795821736,1.449814773,0.641705844,1.500908147,1.648429262,0.880501152,1.027519093,0.709355696,1.699102934,0.722120676,3.265262236,0.672006736,1.053314312,2.971842416,2.317819869,1.266177583,1.032652107,0.927154653,0.749846283,0.326555675,1.186019537,0.094622188,0.789944252,1.225082938,1.671183393,0.733699871,1.063806262,0.617542813,0.710602168
3,1884," CARY, NC",35.7811681,-78.758213,1.090711018,0.864221467,1.026378916,1.050671072,0.975263503,0.971873587,0.928583047,0.74055381,0.934904394,1.034348265,0.768549507,1.092341654,1.225052674,1.104604242,0.85282298,0.693057089,0.985382497,2.790013837,0.909354119,1.219452436,0.83345683,1.472130621,0.971755426,0.797327508,0.888762788,0.828069943,0.785085218,0.89671561,0.837821634,1.072256396,1.022531442,0.77563145,1.095806681,0.778614089,1.595781411,1.236186761,0.850602802,0.884874778,0.739243533,0.706878782,0.794956668,1.774119963,0.722455265,0.881349825,1.706255996,1.216135261,0.917160137,0.933439595,0.684721538,0.920085809,0.968397424,1.174216007,0.848833951,0.940484162,0.804051529,0.689941643,0.785443501,0.725145162,0.728264665,0.794679286
3,1883," SANTA ROSA BEACH, FL",30.3121528,-86.098925,1.212842079,0.685002439,1.066984165,1.406507801,1.143734999,0.838183644,1.320020426,0.810084019,0.655150232,0.964589914,0.737050389,0.758020704,1.154794605,1.257611518,0.464662383,0.325472079,1.128194081,2.092669967,0.665081786,1.265219538,1.077570395,1.259519714,1.339150136,0.66840586,0.685184733,0.572744848,1.000593668,0.855824248,0.893157961,1.013860615,1.361418192,0.86482642,0.943736976,0.917582102,0.840689495,0.689501376,1.121995228,0.978898081,0.853320952,1.815621248,0.528354774,1.289388282,1.275681588,0.43252462,1.033523216,1.664596126,0.909494711,0.545105694,1.962616228,0.863072322,1.581127492,0.91095618,0.427077334,1.164878903,0.918088938,2.384446402,1.394844434,0.633389047,0.739851523,0.4386646
3,832," AUSTIN LAMAR BLVD, TX",30.2712053,-97.7544452,0.959848201,0.873362769,1.101884473,0.903076832,0.976128972,0.82162589,0.959483455,0.779029532,1.09472465,0.731531464,0.756918398,1.049251637,1.058912049,1.27344076,0.840894211,0.702219406,1.032648023,2.564630513,1.039479889,0.959022595,0.908900219,1.723574362,0.877166249,1.047681118,1.006857492,0.878994662,0.986878063,0.890109301,0.839896905,0.956515082,1.537137371,0.856405118,1.42944612,0.911808954,1.143117444,1.422076791,1.058995843,0.851954024,1.269878045,1.120486915,0.775058742,2.030923988,1.192563754,0.790710477,1.844913543,1.277119142,1.314090409,1.122459023,0.625900789,0.948301487,0.870186673,1.390112818,0.803578774,1.0010604,1.150223291,1.196009848,1.042796465,1.127772888,0.688871845,1.013855589
3,6010, FP MOV FORT WORTH TX,32.7286945,-97.3633408,1.07361785,0.842486972,0.946165642,0.908408242,0.884776471,0.771042818,1.097336053,0.701812007,0.986441547,1.038861347,0.813676728,1.231081494,1.672121115,1.125726021,0.738598405,0.713644397,0.80216413,3.650128143,0.684811226,1.217064544,0.95861591,1.615879958,1.00385203,0.636911021,0.856413703,0.667755115,0.611071115,0.818823749,0.827092851,1.315956765,1.589358916,0.765512803,0.981452858,0.902202992,1.592411003,1.40586828,0.728879711,0.813032336,0.728883681,0.96460265,0.793920025,1.649097447,0.709748471,1.037825504,1.991640851,2.023128525,0.786117729,1.102037163,0.789930921,0.764553931,0.653141558,1.297504801,1.052474982,1.098942145,0.784882447,0.493396012,0.879320265,0.7390335,0.752993742,0.60431935
3,6015, FP MOV ATLANTA,33.8528035,-84.3622556,0.896167736,0.900728348,1.035771666,1.033473676,1.043894903,0.866764996,0.945119006,0.810521695,1.045903581,0.808256221,0.887084947,0.980580987,1.147182761,1.059830043,0.940501513,0.857907551,0.985447676,2.887907251,1.040977507,0.959627119,1.00133835,1.316198384,1.132595115,0.921718181,0.950120561,0.963002606,0.765663921,1.098533963,0.908489991,1.187255166,1.284259474,0.93177285,1.175843068,0.936756178,1.142884804,1.402218577,0.821565087,1.106101627,0.981533745,1.05562048,0.746433375,1.53343065,0.945614712,0.839302371,1.416527205,1.500539603,1.051192684,1.048167866,0.809086176,0.825458177,0.887496543,1.229075703,0.744361207,0.810564458,0.837629597,0.841248437,0.977003058,0.750678523,0.742911588,0.94565757
