Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
1,6292,FP COLL  MVNT RET STR,"1200 PEARL ST., #110",BOULDER,80302,CO,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-DC DISTRICT,40.0178501,-105.2796244,9782371.86,5779348.84
1,1825, BALTIMORE HARBOR E.,1001 ALICEANNA ST.,BALTIMORE,21202,MD,F,LIFESTYLE CENTER,COLD,EAST COAST-MID-ATLANTIC DISTRICT,39.2828892,-76.5997049,11793446.96,7114634.71
1,1826," BRIDGEWATER, NJ",400 COMMONS WAY,BRIDGEWATER,8807,NJ,F,TRADITIONAL MALL,COLD,EAST COAST-NORTHEAST,40.5858311,-74.6193571,14995018.11,8556887.45
1,1827," PROVIDENCE, RI",26 PROVIDENCE PLACE,PROVIDENCE,2903,RI,C2,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,41.8280252,-71.4159517,6338493.44,3927025.42
1,1830, WASHINGTON DC M ST.,3009 M ST. NW,WASHINGTON,20007,DC,A1,METRO,COLD,EAST COAST-MID-ATLANTIC DISTRICT,38.9053685,-77.0595269,30120258.08,17389094.09
1,1832, NEWTON MA CHESTNUTHL,200 BOYLSTON ST.,NEWTON,2467,MA,B1,LIFESTYLE CENTER,COLD,EAST COAST-NEW ENGLAND,42.3189069,-71.1752159,32406105.23,18502952.54
1,1842," DANBURY, CT",7 BACKUS AVENUE,DANBURY,6810,CT,C2,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,41.3800517,-73.4817327,9417606.35,5543117.17
1,1852," WESTPORT, CT",645 POST RD. E.,WESTPORT,6880,CT,A1,METRO,COLD,EAST COAST-NEW ENGLAND,41.1384543,-73.3430989,14022398.73,8260814.26
1,1855, PRINCETON MARKETFAIR,3535 ROUTE 1,PRINCETON,8540,NJ,C3,LIFESTYLE CENTER,COLD,EAST COAST-NORTHEAST,40.314829,-74.660967,10839546.95,6141426.86
1,1859," BURLINGTON, VT",90 CHURCH ST.,BURLINGTON,5401,VT,B3,METRO,COLD,EAST COAST-NEW ENGLAND,44.477898,-73.212351,1963134.46,1221723.96
